Rating,Distance,Price,Popularity,Cuisine_Chinese,Cuisine_Indian,Cuisine_Italian,Cuisine_Mexican,User_Preference_Budget,User_Restaurant_Interaction
3.8,3.0,0.5813793103448276,0.191,0.0,0.0,0.0,1.0,1,"[0, 0, 0.0]"
3.2,1.6,0.5551724137931034,0.051,1.0,0.0,0.0,0.0,0,"[3, 10, 2.9]"
2.6,4.9,0.906896551724138,0.865,0.0,0.0,0.0,1.0,0,"[0, 0, 0.0]"
3.6,1.9,0.1441379310344827,0.91,0.0,0.0,1.0,0.0,1,"[2, 7, 3.8]"
3.6,3.7,0.5482758620689655,0.963,1.0,0.0,0.0,0.0,0,"[1, 22, 2.8]"
4.1,2.2,0.3717241379310344,0.581,0.0,0.0,1.0,0.0,1,"[4, 15, 4.1]"
2.5,3.0,0.0524137931034482,0.074,1.0,0.0,0.0,0.0,1,"[1, 21, 3.1]"
3.9,0.7,0.7048275862068966,0.065,0.0,1.0,0.0,0.0,0,"[2, 20, 2.9]"
2.7,4.4,0.4772413793103447,0.202,0.0,0.0,1.0,0.0,1,"[3, 28, 2.8]"
4.8,4.8,0.7772413793103448,0.009,0.0,1.0,0.0,0.0,1,"[1, 30, 4.6]"
2.7,1.3,0.4420689655172413,0.447,0.0,1.0,0.0,0.0,0,"[1, 3, 2.9]"
4.3,2.0,0.1806896551724137,0.266,0.0,0.0,0.0,1.0,1,"[4, 12, 5.0]"
3.2,4.5,0.883448275862069,0.642,0.0,0.0,0.0,1.0,0,"[1, 20, 3.1]"
2.6,2.5,0.2455172413793103,0.803,0.0,0.0,1.0,0.0,1,"[4, 17, 2.3]"
2.5,0.8,0.5227586206896552,0.18,0.0,1.0,0.0,0.0,1,"[1, 26, 2.0]"
3.1,3.3,0.4599999999999999,0.37,1.0,0.0,0.0,0.0,0,"[0, 0, 0.0]"
2.4,1.7,0.133103448275862,0.524,0.0,0.0,1.0,0.0,0,"[4, 10, 2.0]"
5.0,1.3,0.9372413793103448,0.223,0.0,0.0,1.0,0.0,1,"[4, 10, 5.0]"
4.8,2.1,0.0689655172413793,0.285,1.0,0.0,0.0,0.0,0,"[4, 15, 5.0]"
2.4,4.8,0.8572413793103448,0.721,0.0,1.0,0.0,0.0,1,"[5, 26, 2.4]"
2.5,1.2,0.4420689655172413,0.313,0.0,0.0,1.0,0.0,0,"[0, 0, 0.0]"
2.4,3.2,0.523448275862069,0.73,0.0,0.0,1.0,0.0,1,"[3, 18, 3.5]"
4.0,2.8,0.8758620689655172,0.924,0.0,0.0,0.0,1.0,0,"[3, 14, 4.2]"
3.6,0.9,0.7524137931034482,0.346,0.0,0.0,1.0,0.0,1,"[4, 21, 3.6]"
